id,title,keywords,ratings,confidences,withdraw,review_lengths,abstract,comments,url,ratings_avg,ratings_std,confidence_avg,confidence_std
zgQ0PHeGnL,Rigid Protein-Protein Docking via Equivariant Elliptic-Paraboloid Interface Prediction,"['Equivariant Graph Neural Network', 'rigid body protein-protein docking', 'interface fitting']","[5, 8, 8, 3]","[4, 3, 3, 4]",0,"[525, 714, 290, 338]","The study of rigid protein-protein docking plays an essential role in a variety of tasks such as drug design and protein engineering. Recently, several learning-based methods have been proposed for the task, exhibiting much faster docking speed than those computational methods. In this paper, we propose a novel learning-based method called ElliDock, which predicts an elliptic paraboloid to represent the protein-protein docking interface. To be specific, our model estimates elliptic paraboloid interfaces for the two input proteins respectively, and obtains the roto-translation transformation for docking by making two interfaces coincide. By its design, ElliDock is independently equivariant with respect to arbitrary rotations/translations of the proteins, which is an indispensable property to ensure the generalization of the docking process. Experimental evaluations show that ElliDock achieves the fastest inference time among all compared methods, and outperforms state-of-the-art learning-based methods, like DiffDock-PP and Alphafold-Multimer, for particularly antibody-antigen docking.",17,https://openreview.net/forum?id=zgQ0PHeGnL,6.0,2.1213203435596424,3.5,0.5
zUHgYRRAWl,Objective-Agnostic Enhancement of Molecule Properties via Multi-Stage VAE,"['VAE', 'molecule generation']","[1, 3, 1]","[5, 4, 4]",1,"[80, 568, 34]","Variational autoencoder (VAE) is a popular method for drug discovery and various architectures and pipelines have been proposed to improve its performance. However, VAE approaches are known to suffer from poor manifold recovery when the data lie on a low-dimensional manifold embedded in a higher dimensional ambient space [Dai and Wipf, 2019]. The consequences of it in drug discovery are somewhat under-explored. In this paper, we explore applying a multi-stage VAE approach, that can improve manifold recovery on a synthetic dataset, to the field of drug discovery. We experimentally evaluate our multi-stage VAE approach using the ChEMBL dataset and demonstrate its ability to improve the property statistics of generated molecules substantially from pre-existing methods without incorporating property predictors into the training pipeline. We further fine-tune our models on two curated and much smaller molecule datasets that target different proteins. Our experiments show an increase in the number of active molecules generated by the multi-stage VAE in comparison to their one-stage equivalent. For each of the two tasks, our baselines include methods that use learned property predictors to incorporate target metrics directly into the training objective and we discuss complications that arise with this methodology.",3,https://openreview.net/forum?id=zUHgYRRAWl,1.6666666666666667,0.9428090415820634,4.333333333333333,0.4714045207910317
zMPHKOmQNb,Protein Discovery with Discrete Walk-Jump Sampling,"['generative modeling', 'langevin mcmc', 'energy-based models', 'score-based models', 'protein design', 'protein discovery']","[8, 8, 8]","[4, 3, 4]",0,"[591, 581, 523]","We resolve difficulties in training and sampling from a discrete generative model by learning a smoothed energy function, sampling from the smoothed data manifold with Langevin Markov chain Monte Carlo (MCMC), and projecting back to the true data manifold with one-step denoising. Our $\textit{Discrete Walk-Jump Sampling}$ formalism combines the contrastive divergence training of an energy-based model and improved sample quality of a score-based model, while simplifying training and sampling by requiring only a single noise level. We evaluate the robustness of our approach on generative modeling of antibody proteins and introduce the $\textit{distributional conformity score}$ to benchmark protein generative models. By optimizing and sampling from our models for the proposed distributional conformity score, 97-100\% of generated samples are successfully expressed and purified and 70\% of functional designs show equal or improved binding affinity compared to known functional antibodies on the first attempt in a single round of laboratory experiments. We also report the first demonstration of long-run fast-mixing MCMC chains where diverse antibody protein classes are visited in a single MCMC chain.",7,https://openreview.net/forum?id=zMPHKOmQNb,8.0,0.0,3.6666666666666665,0.4714045207910317
z3mPLBLfGY,Generalist Equivariant Transformer Towards 3D Molecular Interaction Learning,['unified representation; molecular interaction; equivariant transformer'],"[6, 5, 8, 5]","[5, 4, 3, 3]",0,"[175, 389, 157, 335]","Many processes in biology and drug discovery involve various 3D interactions between molecules, such as protein and protein, protein and small molecule, etc. Given that different molecules are usually represented in different granularity, existing methods usually encode each type of molecules independently with different models, leaving it defective to learn the universal underlying interaction physics. 
In this paper, we first propose to universally represent an arbitrary 3D complex as a geometric graph of sets, shedding light on encoding all types of molecules with one model. We then propose a Generalist Equivariant Transformer (GET) to effectively capture both domain-specific hierarchies and domain-agnostic interaction physics. To be specific, GET consists of a bilevel attention module, a feed-forward module and a layer normalization module, where each module is E(3) equivariant and specialized for handling sets of variable sizes. Notably, in contrast to conventional pooling-based hierarchical models, our GET is able to retain fine-grained information of all levels.  Extensive experiments on the interactions between proteins, small molecules and RNA/DNAs verify the effectiveness and generalization capability of our proposed method across different domains.",25,https://openreview.net/forum?id=z3mPLBLfGY,6.0,1.224744871391589,3.75,0.82915619758885
yRrPfKyJQ2,Conversational Drug Editing Using Retrieval and Domain Feedback,"['Large Language Models', 'prompt', 'retrieval', 'domain feedback', 'conversation', 'drug editing', 'drug optimization', 'controllable generation', 'small molecule', 'peptide', 'protein']","[6, 6, 6]","[2, 3, 4]",0,"[202, 195, 394]","Recent advancements in conversational large language models (LLMs), such as ChatGPT, have demonstrated remarkable promise in various domains, including drug discovery. However, existing works mainly focus on investigating the capabilities of conversational LLMs on chemical reactions and retrosynthesis. While drug editing, a critical task in the drug discovery pipeline, remains largely unexplored. To bridge this gap, we propose ChatDrug, a framework to facilitate the systematic investigation of drug editing using LLMs. ChatDrug jointly leverages a prompt module, a retrieval and domain feedback module, and a conversation module to streamline effective drug editing. We empirically show that ChatDrug reaches the best performance on all 39 drug editing tasks, encompassing small molecules, peptides, and proteins. We further demonstrate, through 10 case studies, that ChatDrug can successfully identify the key substructures for manipulation, generating diverse and valid suggestions for drug editing. Promisingly, we also show that ChatDrug can offer insightful explanations from a domain-specific perspective, enhancing interpretability and enabling informed decision-making.",11,https://openreview.net/forum?id=yRrPfKyJQ2,6.0,0.0,3.0,0.816496580927726
yBmMgvaEtO,Stochastic Adaptive Sequential  Black-box Optimization for  Diffusion Targeted Generation,"['Black-box Optimization', 'Diffusion Model', 'Targeted Generation']","[5, 6, 3, 6]","[2, 2, 3, 2]",0,"[375, 232, 971, 175]","Diffusion models have demonstrated great potential in generating high-quality content for images, natural language, protein domains, etc. However, how to perform user-preferred targeted generation via diffusion models with only black-box target scores of users remains challenging.   To address this issue, we first formulate the fine-tuning of the inference phase of a pre-trained diffusion model as a sequential black-box optimization problem.  Furthermore, we propose a novel stochastic adaptive sequential optimization algorithm to optimize cumulative black-box scores under unknown transition dynamics.   Theoretically, we prove a $O(\frac{d^2}{\sqrt{T}})$ convergence rate for cumulative convex functions without smooth and strongly convex assumptions.   Empirically, we can naturally apply our algorithm for diffusion black-box targeted generation. Experimental results demonstrate the ability of our method to generate target-guided images with high target scores.",10,https://openreview.net/forum?id=yBmMgvaEtO,5.0,1.224744871391589,2.25,0.4330127018922193
xlQrAm3LE4,DiffSim: Aligning Diffusion Model and Molecular Dynamics Simulation for Accurate Blind Docking,"['Diffusion Model', 'Molecular Dynamics Simulation', 'Blind Docking', 'Drug Discovery', 'Molecular Conformation Generation']","[3, 5, 3, 3]","[5, 3, 4, 5]",0,"[208, 297, 370, 238]","Predicting the ligand’s binding conformation within a target protein is a pivotal step in drug discovey. Based on prior knowledge of the binding site (protein pocket) on the target protein, biochemical researchers use molecular docking software to generate the ligand conformation within that pocket. Despite its speed, molecular docking is ill-suited for blind docking where the pocket is unknown, and the generated ligand conformation often lacks required precision. Recently, deep generative models, especially diffusion models, have been proposed for accurate blind docking. However, it is found that while deep generative models excel in locating the pocket, they still lag behind traditional methods in terms of conformation generation. Thus, bridging such gap with a hybrid approach is naturally expected to further improve the model performance. Therefore, in this study, we introduce a blind docking approach named DiffSim to seamlessly integrate the diffusion model with molecular dynamics (MD) simulation. We propose a novel loss function to align reverse diffusion sampling with MD simulation trajectories, aiming to efficiently generate ligand conformations informed by MD-modelled protein-ligand interactions at atomic resolution. Through theoretical analysis, we unveil the consistency in dynamics between diffusion models and MD simulation, demonstrating that the diffusion model is essentially a coarse-grained simulator for MD simulation. Empirical results demonstrate the effectiveness of our approach and highlight the potential of combining physics-informed MD simulation with deep learning models in drug discovery.",8,https://openreview.net/forum?id=xlQrAm3LE4,3.5,0.8660254037844386,4.25,0.82915619758885
xhEN0kJh4q,Robust Model-Based Optimization for Challenging Fitness Landscapes,"['Model based optimization', 'protein engineering']","[6, 8, 5, 6]","[1, 3, 2, 3]",0,"[276, 203, 478, 387]","Protein design, a grand challenge of the day, involves optimization on a fitness landscape, and leading methods adopt a model-based approach where a model is trained on a training set (protein sequences and fitness) and proposes candidates to explore next. These methods are challenged by sparsity of high-fitness samples in the training set, a problem that has been in the literature. A less recognized but equally important problem stems from the distribution of training samples in the design space: leading methods are not designed for scenarios where the desired optimum is in a region that is not only poorly represented in training data, but also relatively far from the highly represented low-fitness regions. We show that this problem of “separation” in the design space is a significant bottleneck in existing model-based optimization tools and propose a new approach that uses a novel VAE as its search model to overcome the problem. We demonstrate its advantage over prior methods in robustly finding improved samples, regardless of the imbalance and separation between low- and high-fitness samples. Our comprehensive benchmark on real and semi-synthetic protein datasets as well as solution design for physics-informed neural networks, showcases the generality of our approach in discrete and continuous design spaces. Our implementation is available at https://anonymous.4open.science/r/PPGVAE-F83E.",13,https://openreview.net/forum?id=xhEN0kJh4q,6.25,1.0897247358851685,2.25,0.82915619758885
xcMmebCT7s,Learning to design protein-protein interactions with enhanced generalization,"['protein-protein interactions', 'protein design', 'generalization', 'self-supervised learning', 'equivariant 3D representations']","[3, 6, 6, 8, 6]","[5, 2, 4, 5, 3]",0,"[821, 209, 392, 244, 212]","Discovering mutations enhancing protein-protein interactions (PPIs) is critical for advancing biomedical research and developing improved therapeutics. While machine learning approaches have substantially advanced the field, they often struggle to generalize beyond training data in practical scenarios. The contributions of this work are three-fold. First, we construct PPIRef, the largest and non-redundant dataset of 3D protein-protein interactions, enabling effective large-scale learning. Second, we leverage PPIRef to pre-train PPIformer, a new SE(3)-equivariant model, generalizing across diverse protein-binder variants. We fine-tune PPIformer to predict effects of mutations on protein-protein interactions via a thermodynamically motivated adjustment of the pre-training loss function. Finally, we demonstrate the enhanced generalization of our new PPIformer approach by outperforming other state-of-the-art methods on the new non-leaking splits of the standard labeled PPI mutational data and independent case studies optimizing a human antibody against SARS-CoV-2 and increasing staphylokinase thrombolytic activity.",31,https://openreview.net/forum?id=xcMmebCT7s,5.8,1.6,3.8,1.16619037896906
wmq67R2PIu,DockGame: Cooperative Games for Multimeric Rigid Protein Docking,"['protein docking', 'multi-chain docking', 'score matching', 'multi-agent diffusion']","[3, 3, 3, 5]","[5, 4, 5, 5]",0,"[2066, 631, 194, 355]","Protein interactions and assembly formation are fundamental to most biological processes. Predicting the assembly structure from constituent proteins -- referred to as the protein docking task -- is thus a crucial step in protein design applications. Most traditional and deep learning methods for docking have focused mainly on binary docking, following either a search-based, regression-based, or generative modeling paradigm. In this paper, we focus on the less-studied multimeric (i.e., two or more proteins) docking problem. We introduce DockGame, a novel game-theoretic framework for docking -- we view protein docking as a cooperative game between proteins, where the final assembly structure(s) constitute stable equilibria w.r.t. the underlying game potential. Since we do not have access to the true potential, we consider two approaches - i) learning a surrogate game potential guided by physics-based energy functions and computing equilibria by simultaneous gradient updates, and ii) sampling from the Gibbs distribution of the true potential by learning a 
diffusion generative model over the action spaces (rotations and translations) of all proteins. Empirically, on the Docking Benchmark 5.5 (DB5.5) dataset, DockGame has much faster runtimes than traditional docking methods, can generate multiple plausible assembly structures, and achieves comparable performance to existing binary docking baselines, despite solving the harder task of coordinating multiple protein chains.",15,https://openreview.net/forum?id=wmq67R2PIu,3.5,0.8660254037844386,4.75,0.4330127018922193
wZNJ7rj1ok,SAGMAN: Stability Analysis of Graph Neural Networks (GNNs) on the Manifolds,"['Manifolds', 'Stability', 'Graph Neural Networks']","[6, 5, 3, 3, 5]","[3, 3, 3, 4, 3]",1,"[536, 327, 193, 300, 373]","Graph neural networks (GNNs)  are highly effective at tasks that involve analyzing graph-structured data, such as predicting protein interactions, modeling social networks, and identifying communities within graphs. However,  modern GNNs can be sensitive to changes in the input graph structure and node features,   leading to unpredictable behavior and degraded performance. In this work, we introduce a spectral framework (SAGMAN) for analyzing the stability of GNNs. SAGMAN quantifies the stability of each node by examining the distance mapping distortions (DMDs) on the input/output manifolds: when two nearby nodes on the input manifold are mapped (through a GNN model) to two distant nodes (data samples) on the output manifold, it implies a large DMD and thus poor GNN stability.  To create low-dimensional input/output manifolds for meaningful DMD estimations while exploiting both the input graph topology and node features, we propose a spectral sparsification framework for estimating probabilistic graphical models (PGMs)  such that the constructed input/output graph structures can well preserve pair-wise distances on the manifolds. Our empirical evaluations show that SAGMAN can effectively reveal each node's stability under various edge/feature perturbations, offering a scalable approach for assessing the stability of GNNs.",5,https://openreview.net/forum?id=wZNJ7rj1ok,4.4,1.2,3.2,0.39999999999999997
